date,district,actual_count,day_of_week,month,day,is_weekend,week_of_year,is_month_start,is_month_end,lag_1,lag_3,lag_7,rolling_mean_7,rolling_max_7,location_avg,location_std,weekend_x_location_avg,predicted_count,residual,abs_residual,anomaly_score
2025-09-01,Adilabad,86,0,9,1,0,36,1,0,1.0,2.0,74.52127659574468,29.4,86.0,74.52127659574468,29.298878367978467,0.0,37.943108,48.05689239501953,48.05689239501953,-1
2025-09-02,Adilabad,97,1,9,2,0,36,1,0,86.0,2.0,74.52127659574468,40.666666666666664,97.0,74.52127659574468,29.298878367978467,0.0,53.357323,43.642677307128906,43.642677307128906,-1
2025-09-04,Adilabad,82,3,9,4,0,36,1,0,82.0,86.0,56.0,50.285714285714285,97.0,74.52127659574468,29.298878367978467,0.0,23.044758,58.95524215698242,58.95524215698242,-1
2025-09-06,Adilabad,93,5,9,6,1,36,1,0,41.0,82.0,2.0,68.85714285714286,97.0,74.52127659574468,29.298878367978467,74.52127659574468,32.283844,60.716156005859375,60.716156005859375,-1
2025-09-08,Adilabad,77,0,9,8,0,37,0,0,16.0,41.0,86.0,69.71428571428571,97.0,74.52127659574468,29.298878367978467,0.0,37.09035,39.90964889526367,39.90964889526367,-1
2025-09-12,Adilabad,104,4,9,12,0,37,0,0,74.0,95.0,41.0,75.28571428571429,104.0,74.52127659574468,29.298878367978467,0.0,67.459785,36.54021453857422,36.54021453857422,-1
2025-10-24,Adilabad,109,4,10,24,0,43,0,1,16.0,36.0,90.0,47.714285714285715,109.0,74.52127659574468,29.298878367978467,0.0,82.87984,26.120162963867188,26.120162963867188,-1
2025-10-26,Adilabad,106,6,10,26,1,43,0,1,83.0,16.0,85.0,57.57142857142857,109.0,74.52127659574468,29.298878367978467,74.52127659574468,83.45426,22.545738220214844,22.545738220214844,-1
2025-10-28,Adilabad,104,1,10,28,0,44,0,1,60.0,83.0,36.0,68.85714285714286,109.0,74.52127659574468,29.298878367978467,0.0,65.61342,38.38658142089844,38.38658142089844,-1
2025-11-01,Adilabad,104,5,11,1,1,44,1,0,90.0,51.0,83.0,86.57142857142857,106.0,74.52127659574468,29.298878367978467,74.52127659574468,76.15268,27.847320556640625,27.847320556640625,-1
2025-11-03,Adilabad,106,0,11,3,0,45,1,0,77.0,90.0,60.0,89.0,106.0,74.52127659574468,29.298878367978467,0.0,68.946556,37.053443908691406,37.053443908691406,-1
2025-11-04,Adilabad,82,1,11,4,0,45,1,0,106.0,104.0,104.0,85.85714285714286,106.0,74.52127659574468,29.298878367978467,0.0,34.034203,47.965797424316406,47.965797424316406,-1
2025-11-06,Adilabad,80,3,11,6,0,45,1,0,67.0,106.0,91.0,86.57142857142857,106.0,74.52127659574468,29.298878367978467,0.0,38.491394,41.50860595703125,41.50860595703125,-1
2025-11-07,Adilabad,88,4,11,7,0,45,1,0,80.0,82.0,90.0,86.28571428571429,106.0,74.52127659574468,29.298878367978467,0.0,43.314148,44.68585205078125,44.68585205078125,-1
2025-11-08,Adilabad,96,5,11,8,1,45,0,0,88.0,67.0,104.0,85.14285714285714,106.0,74.52127659574468,29.298878367978467,74.52127659574468,44.672874,51.327125549316406,51.327125549316406,-1
2025-11-10,Adilabad,119,0,11,10,0,46,0,0,47.0,88.0,106.0,82.71428571428571,119.0,74.52127659574468,29.298878367978467,0.0,84.892944,34.1070556640625,34.1070556640625,-1
2025-11-14,Adilabad,108,4,11,14,0,46,0,0,77.0,88.0,88.0,84.0,119.0,74.52127659574468,29.298878367978467,0.0,87.67432,20.32568359375,20.32568359375,-1
2025-11-18,Adilabad,110,1,11,18,0,47,0,0,49.0,99.0,88.0,76.42857142857143,110.0,74.52127659574468,29.298878367978467,0.0,71.60855,38.391448974609375,38.391448974609375,-1
2025-11-19,Adilabad,105,2,11,19,0,47,0,0,110.0,39.0,53.0,83.85714285714286,110.0,74.52127659574468,29.298878367978467,0.0,74.795296,30.20470428466797,30.20470428466797,-1
2025-11-27,Adilabad,115,3,11,27,0,48,0,1,97.0,105.0,99.0,80.71428571428571,115.0,74.52127659574468,29.298878367978467,0.0,86.02517,28.974830627441406,28.974830627441406,-1
2025-12-01,Adilabad,98,0,12,1,0,49,1,0,60.0,115.0,110.0,85.42857142857143,115.0,74.52127659574468,29.298878367978467,0.0,69.118454,28.881546020507812,28.881546020507812,-1
2025-12-02,Adilabad,96,1,12,2,0,49,1,0,98.0,73.0,105.0,84.14285714285714,115.0,74.52127659574468,29.298878367978467,0.0,63.68219,32.31781005859375,32.31781005859375,-1
2025-12-03,Adilabad,125,2,12,3,0,49,1,0,96.0,60.0,50.0,94.85714285714286,125.0,74.52127659574468,29.298878367978467,0.0,74.366585,50.63341522216797,50.63341522216797,-1
2025-12-04,Adilabad,104,3,12,4,0,49,1,0,125.0,98.0,97.0,95.85714285714286,125.0,74.52127659574468,29.298878367978467,0.0,39.69827,64.30173110961914,64.30173110961914,-1
2025-12-05,Adilabad,83,4,12,5,0,49,1,0,104.0,96.0,115.0,91.28571428571429,125.0,74.52127659574468,29.298878367978467,0.0,44.532715,38.46728515625,38.46728515625,-1
2025-12-08,Adilabad,89,0,12,8,0,50,0,0,68.0,83.0,98.0,85.71428571428571,125.0,74.52127659574468,29.298878367978467,0.0,44.122303,44.8776969909668,44.8776969909668,-1
2025-12-11,Adilabad,109,3,12,11,0,50,0,0,36.0,89.0,104.0,70.0,109.0,74.52127659574468,29.298878367978467,0.0,71.49289,37.507110595703125,37.507110595703125,-1
2025-12-16,Adilabad,122,1,12,16,0,51,0,0,87.0,58.0,70.0,80.28571428571429,122.0,74.52127659574468,29.298878367978467,0.0,87.54673,34.453269958496094,34.453269958496094,-1
2025-12-22,Adilabad,116,0,12,22,0,52,0,0,56.0,64.0,49.0,79.0,122.0,74.52127659574468,29.298878367978467,0.0,84.261345,31.73865509033203,31.73865509033203,-1
2025-12-27,Adilabad,112,5,12,27,1,52,0,1,91.0,51.0,80.0,81.71428571428571,116.0,74.52127659574468,29.298878367978467,74.52127659574468,97.08531,14.914688110351562,14.914688110351562,-1
