region,district,predicted_demand,district_operators,district_kits,district_supervisors,state_total_demand,state_operators,state_kits,state_supervisors
Andaman and Nicobar Islands,North And Middle Andaman,225,8,8,1,580,21,21,3
Andaman and Nicobar Islands,South Andaman,185,7,7,1,580,21,21,3
Andaman and Nicobar Islands,Nicobar,170,6,6,1,580,21,21,3
Andhra Pradesh,Guntur,5768,193,193,20,45671,1528,1528,159
Andhra Pradesh,Chittoor,5547,185,185,19,45671,1528,1528,159
Andhra Pradesh,Prakasam,5403,181,181,19,45671,1528,1528,159
Andhra Pradesh,Kurnool,4171,140,140,14,45671,1528,1528,159
Andhra Pradesh,Vizianagaram,3307,111,111,12,45671,1528,1528,159
Arunachal Pradesh,Changlang,294,10,10,1,1784,64,64,10
Arunachal Pradesh,Papum Pare,247,9,9,1,1784,64,64,10
Arunachal Pradesh,West Kameng,244,9,9,1,1784,64,64,10
Arunachal Pradesh,Namsai,203,7,7,1,1784,64,64,10
Arunachal Pradesh,East Siang,200,7,7,1,1784,64,64,10
Arunachal Pradesh,West Siang,137,5,5,1,1784,64,64,10
Arunachal Pradesh,Tawang,128,5,5,1,1784,64,64,10
Arunachal Pradesh,Lohit,114,4,4,1,1784,64,64,10
Arunachal Pradesh,Tirap,114,4,4,1,1784,64,64,10
Arunachal Pradesh,East Kameng,103,4,4,1,1784,64,64,10
Assam,Cachar,3306,111,111,12,23354,784,784,84
Assam,Kamrup,2895,97,97,10,23354,784,784,84
Assam,Kamrup Metro,2804,94,94,10,23354,784,784,84
Assam,Sonitpur,2557,86,86,9,23354,784,784,84
Assam,Nagaon,2413,81,81,9,23354,784,784,84
Assam,Karimganj,2005,67,67,7,23354,784,784,84
Assam,Jorhat,1938,65,65,7,23354,784,784,84
Assam,Dibrugarh,1885,63,63,7,23354,784,784,84
Assam,Barpeta,1862,63,63,7,23354,784,784,84
Assam,Golaghat,1689,57,57,6,23354,784,784,84
Bihar,Patna,4903,164,164,17,35270,1181,1181,123
Bihar,Aurangabad,4512,151,151,16,35270,1181,1181,123
Bihar,Saran,3902,131,131,14,35270,1181,1181,123
Bihar,Darbhanga,3683,123,123,13,35270,1181,1181,123
Bihar,Siwan,3500,117,117,12,35270,1181,1181,123
Bihar,Vaishali,3278,110,110,11,35270,1181,1181,123
Bihar,Madhubani,3231,108,108,11,35270,1181,1181,123
Bihar,Bhojpur,2853,96,96,10,35270,1181,1181,123
Bihar,Gaya,2786,93,93,10,35270,1181,1181,123
Bihar,Samastipur,2622,88,88,9,35270,1181,1181,123
Chandigarh,Chandigarh,964,33,33,4,1828,62,62,7
Chandigarh,Rupnagar,864,29,29,3,1828,62,62,7
Chhattisgarh,Raipur,2458,82,82,9,2458,82,82,9
Chhattisgarh,Raigarh,3869,129,129,13,17386,584,584,63
Chhattisgarh,Bilaspur,2838,95,95,10,17386,584,584,63
Chhattisgarh,Raipur,2458,82,82,9,17386,584,584,63
Chhattisgarh,Bijapur,1612,54,54,6,17386,584,584,63
Chhattisgarh,Balrampur,1592,54,54,6,17386,584,584,63
Chhattisgarh,Baloda Bazar,1366,46,46,5,17386,584,584,63
Chhattisgarh,Rajnandgaon,1303,44,44,5,17386,584,584,63
Chhattisgarh,Surguja,788,27,27,3,17386,584,584,63
Chhattisgarh,Durg,785,27,27,3,17386,584,584,63
Chhattisgarh,Gariyaband,775,26,26,3,17386,584,584,63
Dadra and Nagar Haveli and Daman and Diu,Diu,177,6,6,1,298,11,11,2
Dadra and Nagar Haveli and Daman and Diu,Daman,121,5,5,1,298,11,11,2
Delhi,South Delhi,1768,59,59,6,7451,254,254,29
Delhi,South West Delhi,1411,48,48,5,7451,254,254,29
Delhi,North West Delhi,1275,43,43,5,7451,254,254,29
Delhi,West Delhi,965,33,33,4,7451,254,254,29
Delhi,East Delhi,760,26,26,3,7451,254,254,29
Delhi,Central Delhi,384,13,13,2,7451,254,254,29
Delhi,North Delhi,274,10,10,1,7451,254,254,29
Delhi,New Delhi,228,8,8,1,7451,254,254,29
Delhi,Shahdara,223,8,8,1,7451,254,254,29
Delhi,North East Delhi,163,6,6,1,7451,254,254,29
Goa,North Goa,1916,64,64,7,2779,93,93,10
Goa,South Goa,863,29,29,3,2779,93,93,10
Gujarat,Surat,4317,144,144,15,27416,918,918,97
Gujarat,Vadodara,3216,108,108,11,27416,918,918,97
Gujarat,Rajkot,2956,99,99,10,27416,918,918,97
Gujarat,Ahmedabad,2745,92,92,10,27416,918,918,97
Gujarat,Junagadh,2743,92,92,10,27416,918,918,97
Gujarat,Kheda,2707,91,91,10,27416,918,918,97
Gujarat,Kachchh,2323,78,78,8,27416,918,918,97
Gujarat,Mahesana,2188,73,73,8,27416,918,918,97
Gujarat,Surendra Nagar,2129,71,71,8,27416,918,918,97
Gujarat,Anand,2092,70,70,7,27416,918,918,97
Haryana,Gurgaon,1697,57,57,6,11494,388,388,44
Haryana,Bhiwani,1662,56,56,6,11494,388,388,44
Haryana,Yamuna Nagar,1207,41,41,5,11494,388,388,44
Haryana,Rewari,1090,37,37,4,11494,388,388,44
Haryana,Ambala,1054,36,36,4,11494,388,388,44
Haryana,Jhajjar,1040,35,35,4,11494,388,388,44
Haryana,Sirsa,970,33,33,4,11494,388,388,44
Haryana,Mahendragarh,955,32,32,4,11494,388,388,44
Haryana,Karnal,928,31,31,4,11494,388,388,44
Haryana,Kaithal,891,30,30,3,11494,388,388,44
Himachal Pradesh,Kangra,3497,117,117,12,19408,652,652,69
Himachal Pradesh,Bilaspur,2838,95,95,10,19408,652,652,69
