region,district,predicted_demand,district_operators,district_kits,district_supervisors,state_total_demand,state_operators,state_kits,state_supervisors
Andaman & Nicobar Islands,North And Middle Andaman,225,8,8,1,5.8,21,21,3
Andaman & Nicobar Islands,South Andaman,185,7,7,1,5.8,21,21,3
Andaman & Nicobar Islands,Nicobar,170,6,6,1,5.8,21,21,3
Andhra Pradesh,Guntur,5768,193,193,20,866.78,2914,2914,311
Andhra Pradesh,Chittoor,5547,185,185,19,866.78,2914,2914,311
Andhra Pradesh,Medak,5412,181,181,19,866.78,2914,2914,311
Andhra Pradesh,Prakasam,5403,181,181,19,866.78,2914,2914,311
Andhra Pradesh,Mahabubnagar,4874,163,163,17,866.78,2914,2914,311
Andhra Pradesh,Kurnool,4171,140,140,14,866.78,2914,2914,311
Andhra Pradesh,Warangal,3821,128,128,13,866.78,2914,2914,311
Andhra Pradesh,Adilabad,3717,124,124,13,866.78,2914,2914,311
Andhra Pradesh,Khammam,3651,122,122,13,866.78,2914,2914,311
Andhra Pradesh,Vizianagaram,3307,111,111,12,866.78,2914,2914,311
Andhra Pradesh,Cuddapah,2830,95,95,10,866.78,2914,2914,311
Andhra Pradesh,Hyderabad,2794,94,94,10,866.78,2914,2914,311
Andhra Pradesh,Srikakulam,2698,90,90,9,866.78,2914,2914,311
Andhra Pradesh,Visakhapatnam,2466,83,83,9,866.78,2914,2914,311
Andhra Pradesh,K.v. Rangareddy,2387,80,80,8,866.78,2914,2914,311
Andhra Pradesh,Karimnagar,2071,70,70,7,866.78,2914,2914,311
Andhra Pradesh,Nalgonda,2017,68,68,7,866.78,2914,2914,311
Andhra Pradesh,East Godavari,1760,59,59,6,866.78,2914,2914,311
Andhra Pradesh,Anantapur,1601,54,54,6,866.78,2914,2914,311
Andhra Pradesh,Rangareddi,1484,50,50,5,866.78,2914,2914,311
Andhra Pradesh,Nizamabad,1478,50,50,5,866.78,2914,2914,311
Andhra Pradesh,Ananthapuramu,1398,47,47,5,866.78,2914,2914,311
Andhra Pradesh,Krishna,1359,46,46,5,866.78,2914,2914,311
Andhra Pradesh,Mahabub Nagar,1331,45,45,5,866.78,2914,2914,311
Andhra Pradesh,West Godavari,1220,41,41,5,866.78,2914,2914,311
Andhra Pradesh,Annamayya,1026,35,35,4,866.78,2914,2914,311
Andhra Pradesh,Alluri Sitharama Raju,1000,34,34,4,866.78,2914,2914,311
Andhra Pradesh,Kakinada,975,33,33,4,866.78,2914,2914,311
Andhra Pradesh,N. T. R,967,33,33,4,866.78,2914,2914,311
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,942,32,32,4,866.78,2914,2914,311
Andhra Pradesh,Mahbubnagar,886,30,30,3,866.78,2914,2914,311
